Nom,Adreça,Districte,Barri,Codi Postal,Telèfon,Telèfon 2,Latitud,Longitud,Web
Restaurant Moncho's Barcelona,Travessera Gràcia 44*46,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,08021,+34 934146622,+34 932017389,41.395462297222224,2.148760333333333,
Restaurant Dopazo,Carrer Borriana 90,Sant Andreu,Sant Andreu,08030,+34 933114751,+34 933119054,41.43077053333333,2.193083861111111,
Restaurant Beltxenea,Carrer Mallorca 275,Eixample,la Dreta de l'Eixample,08008,+34 932153024,+34 934870081,41.394750075,2.163588472222222,
Bar Restaurant Pasa Tapas,Carrer Doctor Aiguader 8,Ciutat Vella,la Barceloneta,08003,+34 933194233,,41.382034213888886,2.1869641388888885,http://www.pasatapas.net
Restaurant París Condal,Carrer Muntaner 34,Eixample,l'Antiga Esquerra de l'Eixample,08011,+34 934531143,+34 934545688,41.38552203333333,2.161048,
Restaurant Albarakah,Carrer València 204,Eixample,l'Antiga Esquerra de l'Eixample,08011,+34 933234651,,41.38872278888889,2.1582234166666665,http://www.accua.com/albarakah
Restaurant A Goudiña,Entença 2,Eixample,Sant Antoni,08015,+34 934265631,,41.37548091666667,2.156275472222222,
Restaurant La Mar Salada,Passeig J Borbó Comte Barcelona 58,Ciutat Vella,la Barceloneta,08003,+34 932212127,+34 932211852,41.376748408333334,2.1889109999999996,
Restaurant Mic Sopars,Carrer Bruniquer 44,Gràcia,la Vila de Gràcia,08024,+34 932845544,,41.405168330555554,2.161616638888889,
Bar Cafeteria Café Cafè * Port Olímpic,Port Olímpic 0100*LP,Sant Martí,Poble Nou,08005,+34 932210019,,40.643695244444444,1.8165906388888888,
Bar Sport MagòriaBar,Carrer Viladecans 1,Sants-Montjuïc,la Bordeta,08014,+34 934320309,,41.369208558333334,2.1393559722222224,
Restaurant La LLar del Filador,Carrer Cortines 13 bxs,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",08003,+34 933192690,+34 933006270,41.38915103611111,2.180189694444444,
La Catalana II,Plaça Olles 0005,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",08003,+34 933190693,,41.383787158333334,2.1831414444444444,
Bar Restaurant Rincón de la Ciudadela,Carrer Princesa 50,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",08003,+34 933151510,,41.38677049444444,2.1824275833333333,
Bar Restaurant La Cantonada,Puig i Cadafalch 11,Horta-Guinardó,Montbau,08035,+34 934280309,,41.430342841666665,2.1417209444444443,
